A5A5A5A5A5A5
   Counter,      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
       101,  2000/1/1,     0:2:7,      0.00,    0,              0,              0,       450,       150,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.23,43.72,101.92,101.92
       102,  2000/1/1,     0:2:8,      0.00,    0,              0,              0,       450,       150,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.24,43.27,101.92,101.92
       103,  2000/1/1,     0:2:9,      0.00,    0,              0,              0,       459,       153,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.25,43.22,101.92,101.92
       104,  2000/1/1,    0:2:10,      0.00,    0,              0,              0,       459,       153,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.26,42.99,101.92,101.92
       105,  2000/1/1,    0:2:11,      0.00,    0,              0,              0,       480,       160,         3,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.26,42.67,101.92,101.92
       106,  2000/1/1,    0:2:12,      0.00,    0,              0,              0,       519,       170,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.27,42.71,101.92,101.92
       107,  2000/1/1,    0:2:13,      0.00,    0,              0,              0,       519,       170,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.27,42.55,101.92,101.92
       108,  2000/1/1,    0:2:14,      0.00,    0,              0,              0,       507,       166,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.28,42.58,101.92,101.92
       109,  2000/1/1,    0:2:15,      0.00,    0,              0,              0,       507,       166,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.29,42.22,101.92,101.92
       110,  2000/1/1,    0:2:16,      0.00,    0,              0,              0,       477,       156,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.29,41.37,101.92,101.92
       111,  2000/1/1,    0:2:17,      0.00,    0,              0,              0,       555,       179,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.30,41.32,101.92,101.92
       112,  2000/1/1,    0:2:18,      0.00,    0,              0,              0,       555,       179,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.30,41.40,101.92,101.92
       113,  2000/1/1,    0:2:19,      0.00,    0,              0,              0,       555,       176,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.31,41.17,101.92,101.92
       114,  2000/1/1,    0:2:20,      0.00,    0,              0,              0,       555,       176,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.31,41.27,101.91,101.91
       115,  2000/1/1,    0:2:21,      0.00,    0,              0,              0,       537,       166,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.32,41.68,101.91,101.91
