A5A5A5A5A5A5,,,,,,,,,,,,,,,,,,,,,,
Counter,      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
180,  2000/1/1,    0:3:36,0,0,0,0,858,273,20,0,0,0,5,5,5,5,5,5,27.32,33.44,101.83,101.83
181,  2000/1/1,    0:3:37,0,0,0,0,858,273,20,0,0,0,5,5,5,5,5,5,27.32,33.33,101.83,101.83
182,  2000/1/1,    0:3:38,0,0,0,0,903,288,24,0,0,0,5,6,6,5,6,6,27.32,33.25,101.83,101.83
183,  2000/1/1,    0:3:39,0,0,0,0,903,288,24,0,0,0,5,6,6,5,6,6,27.33,33.4,101.83,101.83
184,  2000/1/1,    0:3:40,0,0,0,0,822,261,21,0,0,0,4,5,5,4,5,5,27.33,33.31,101.83,101.83
185,  2000/1/1,    0:3:41,0,0,0,0,720,227,10,0,0,0,4,5,5,4,5,5,27.33,33.35,101.83,101.83
186,  2000/1/1,    0:3:42,0,0,0,0,720,227,10,0,0,0,4,5,5,4,5,5,27.34,33.37,101.83,101.83
187,  2000/1/1,    0:3:43,0,0,0,0,753,234,10,0,0,0,4,5,5,4,5,5,27.33,33.2,101.83,101.83
188,  2000/1/1,    0:3:44,0,0,0,0,753,234,10,0,0,0,4,5,5,4,5,5,27.33,33.21,101.83,101.83
189,  2000/1/1,    0:3:45,0,0,0,0,696,218,10,0,0,0,4,5,5,4,5,5,27.33,33.21,101.84,101.84
190,  2000/1/1,    0:3:46,0,0,0,0,696,218,10,0,0,0,4,5,5,4,5,5,27.32,33.28,101.84,101.84
191,  2000/1/1,    0:3:47,0,0,0,0,687,222,10,0,0,0,4,5,5,4,5,5,27.32,33.4,101.84,101.84
192,  2000/1/1,    0:3:48,0,0,0,0,666,214,10,0,0,0,4,5,5,4,5,5,27.32,33.33,101.84,101.84
193,  2000/1/1,    0:3:49,0,0,0,0,666,214,10,0,0,0,4,5,5,4,5,5,27.31,33.33,101.84,101.84
194,  2000/1/1,    0:3:50,0,0,0,0,573,183,10,0,0,0,3,4,4,3,4,4,27.3,33.28,101.84,101.84
195,  2000/1/1,    0:3:51,0,0,0,0,573,183,10,0,0,0,3,4,4,3,4,4,27.29,33.3,101.84,101.84
