sigma0,K,tau,wrmse,scale
50.0,292.8571428571429,782.8571428571429,7.6367658780348275,2915116.4584556064
50.0,292.8571428571429,948.5714285714287,7.537842715611725,3041908.654895044
50.0,292.8571428571429,1114.2857142857142,7.442366473520299,3135638.7965712547
50.0,292.8571428571429,1280.0,7.352505177371129,3204809.128767349
50.0,292.8571428571429,1445.7142857142858,7.269183358118591,3255806.1180863963
50.0,292.8571428571429,1611.4285714285716,7.19258502444949,3293353.372922438
50.0,292.8571428571429,1777.1428571428573,7.122487135006485,3320915.9475424075
50.0,292.8571428571429,1942.857142857143,7.058464423461268,3341031.0156376967
50.0,292.8571428571429,2108.5714285714284,7.000009012444779,3355560.7799086072
50.0,292.8571428571429,2274.285714285714,6.946597214625098,3365878.740998243
50.0,292.8571428571429,2440.0,6.897724824794593,3373004.304775494
50.0,292.8571428571429,2605.714285714286,6.852924114646963,3377699.295059871
50.0,292.8571428571429,2771.4285714285716,6.811770473098987,3380537.0656838953
50.0,292.8571428571429,2937.1428571428573,6.7738833779136405,3381952.123369977
50.0,292.8571428571429,3102.857142857143,6.738924423056243,3382275.9355481346
50.0,292.8571428571429,3268.571428571429,6.706593961944752,3381762.933303663
50.0,292.8571428571429,3434.2857142857147,6.676627241794992,3380609.5278016836
50.0,292.8571428571429,3600.0,6.648790504289537,3378968.1203128602
50.0,340.0,120.0,7.941648331343155,1848936.439425692
50.0,340.0,285.7142857142857,7.89940964618541,2195161.523434593
50.0,340.0,451.42857142857144,7.8280607930065385,2515267.992670295
50.0,340.0,617.1428571428571,7.741204892877029,2753363.8055058448
50.0,340.0,782.8571428571429,7.647846601306129,2932966.746028118
50.0,340.0,948.5714285714287,7.554036865762801,3068638.663870408
50.0,340.0,1114.2857142857142,7.463488563420527,3171059.751552853
50.0,340.0,1280.0,7.378186233294524,3248462.7122280807
50.0,340.0,1445.7142857142858,7.298982986336701,3307106.9935351596
50.0,340.0,1611.4285714285716,7.226055081873082,3351675.2052432406
50.0,340.0,1777.1428571428573,7.159204223353969,3385640.7280559423
50.0,340.0,1942.857142857143,7.098044092812091,3411575.126949527
50.0,340.0,2108.5714285714284,7.0421099265710705,3431386.9593325355
50.0,340.0,2274.285714285714,6.990920169981669,3446499.8688093536
50.0,340.0,2440.0,6.944009385790482,3457982.6899340837
50.0,340.0,2605.714285714286,6.900944363585427,3466643.6606048658
50.0,340.0,2771.4285714285716,6.861330650347137,3473098.5163158076
50.0,340.0,2937.1428571428573,6.824813785739199,3477819.8182283267
