sigma0,K,tau,wrmse,scale
50.0,622.8571428571429,3434.2857142857147,16.205078098792637,515595.8054546359
50.0,622.8571428571429,3600.0,16.20490227446437,517904.6783510428
50.0,670.0,120.0,16.21331135593576,254634.5590004268
50.0,670.0,285.7142857142857,16.212928636340845,282531.83457060246
50.0,670.0,451.42857142857144,16.212365822873096,325696.1616132241
50.0,670.0,617.1428571428571,16.211726741406792,361948.37831718
50.0,670.0,782.8571428571429,16.211072743985135,391423.0315581253
50.0,670.0,948.5714285714287,16.21043783436522,415381.9710126202
50.0,670.0,1114.2857142857142,16.209839173709923,434980.19948268845
50.0,670.0,1280.0,16.209283883721533,451149.72557305824
50.0,670.0,1445.7142857142858,16.208773441570006,464616.1469555941
50.0,670.0,1611.4285714285716,16.208306355958907,475937.68882484816
50.0,670.0,1777.1428571428573,16.2078797193149,485543.20059472835
50.0,670.0,1942.857142857143,16.207490074577848,493763.42115857394
50.0,670.0,2108.5714285714284,16.20713388084714,500855.1209214334
50.0,670.0,2274.285714285714,16.20680775015079,507019.2440543167
50.0,670.0,2440.0,16.206508556206646,512414.39951690775
50.0,670.0,2605.714285714286,16.20623347317387,517166.8740617687
50.0,670.0,2771.4285714285716,16.205979977370546,521378.08447222016
50.0,670.0,2937.1428571428573,16.205745830521295,525130.1538653789
50.0,670.0,3102.857142857143,16.205529054850565,528490.1128270283
50.0,670.0,3268.571428571429,16.20532790563393,531513.0885193229
50.0,670.0,3434.2857142857147,16.20514084414972,534244.7447006376
50.0,670.0,3600.0,16.204966512468868,536723.1634958838
50.0,717.1428571428572,120.0,16.213303426037076,265416.86803654156
50.0,717.1428571428572,285.7142857142857,16.212915180740556,291996.3180150415
50.0,717.1428571428572,451.42857142857144,16.212352889795152,335838.57942448603
50.0,717.1428571428572,617.1428571428571,16.21171797160594,373001.0430000491
